numCinema;nomCinema;ancienneRegion;nouvelleRegion;adresseCinema;numCommune;nomCommune;populationCommune;numDepartement;numUniteUrbaine;nomUniteUrbaine;populationUniteUrbaine;situationGeographique;nbEcrans;nbFauteuils;nbSemainesActivite;nbSeances;nbEntrees2020;nbEntrees2019;evolutionEntrees;trancheEntrees;proprietaireCinema;programmateurCinema;AE;categorieAE;labelAE;genre;multiplexe;zoneCommune;nbFilmsProgrammes;nbFilmsInedits;nbFilmsSemaine1;PdMentreesFilmsFR;PdMentreesFilmsUSA;PdMentreesFilmsEUR;PdMentreesFilmsAutres;nbFilmsAE;PdMentreesFilmsAE;latitude;longitude;geolocalisation
86952;ESPACE FERNANDEL;Provence-Alpes-Côte-d'Azur;Provence-Alpes-Côte-d'Azur;AV ARISTIDE BRIAND;13021;Carry-le-Rouet;5891;13;13303;Sausset-les-Pins - Carry-le-Rouet;13515;06-autres communes et unités urbaines;1;200;31;792;8541;11293;-0,243690782;De 5 à 10 000 entrées;ASSOCIATION CULTURELLE CARRY LE ROUET;;OUI;E;JP;FIXE;NON;B;119;87;9;65,32066508;25,1502026;5,570304131;3,958828187;54;36,22560663;43.332335;5.151827;43.332335, 5.151827
49632;CINEMARINE;Bretagne;Bretagne;AVENUE DE LA PLAGE;29006;Bénodet;3505;29;29402;Fouesnant;23955;05-Unités urbaines de 20 000 à 100 000 hbts;2;326;26;1071;12708;118142;-0,892434528;De 10 à 20 000 entrées;LES TOILES DE MER;;OUI;D;;FIXE;NON;B;117;100;54;57,18111684;27,19350841;9,589479154;6,035895591;50;61,58212416;47.874121;-4.110036;47.874121, -4.110036
73021;CELTIC;Bretagne;Bretagne;187 RUE JEAN JAURES;29019;Brest;139163;29;29701;Brest;200530;04-Unités urbaines de 100 000 hbts ou plus;8;892;31;7745;36917;515859;-0,928435871;De 30 à 40 000 entrées;SOCIETE CINEMAS CELTIC;SARL LES FILMS DE LA ROCHELLE;NON;NON;;FIXE;OUI;C;117;78;73;49,39247175;43,07502761;6,678562325;0,853938313;11;23,52791231;48.398083;-4.473843;48.398083, -4.473843
82762;ROCAMADOUR;Bretagne;Bretagne;RUE DU ROZ;29022;Camaret-sur-Mer;2583;29;29104;Camaret-sur-Mer;2583;06-autres communes et unités urbaines;1;200;30;321;5242;159636;-0,967162795;De 5 à 10 000 entrées;CINES DU BOUT DU MONDE;SAS CINE DIFFUSION;OUI;E;;FIXE;NON;I;112;89;19;63,12910284;22,34682713;8,698030635;5,826039387;47;55,6345733;48.27416;-4.599116;48.27416, -4.599116
85902;ETOILE;Bretagne;Bretagne;11 RUE DUQUESNE;29023;Carantec;3149;29;29124;Carantec;4470;06-autres communes et unités urbaines;1;161;29;172;4121;54187;-0,923948549;De 2 à 5 000 entrées;ASSOCIATION ETOILE CINE;SAS CINE DIFFUSION;OUI;E;JPPR;FIXE;NON;C;109;76;1;61,28049824;31,41703453;4,787325052;2,515142183;68;15,24484139;48.667568;-3.912861;48.667568, -3.912861
14102;CGR ALBI LAPEROUSE;Midi-Pyrénées;Occitanie;60 RUE SERE DE RIVIERES;81004;Albi;49475;81;81502;Albi;74751;05-Unités urbaines de 20 000 à 100 000 hbts;3;467;27;1362;15562;33263;-0,532152842;De 10 à 20 000 entrées;PLOUHEL;SARL LES FILMS DE LA ROCHELLE;OUI;D;RDJPPR;FIXE;NON;C;117;78;55;48,19661074;38,10134053;12,58297502;1,119073715;95;36,06947138;43.92676;2.149209;43.92676, 2.149209
86544;CLAP CINE;Midi-Pyrénées;Occitanie;3 AVENUE JEAN JAURES;81060;Carmaux;9460;81;81304;Carmaux;16697;06-autres communes et unités urbaines;4;573;29;2043;18587;18119;0,02582924;De 10 à 20 000 entrées;L YRE CINEMAS;;OUI;E;RDJPPR;FIXE;NON;C;157;100;48;54,04241804;38,28034019;5,521050217;2,156191552;67;23,62282528;44.049028;2.157496;44.049028, 2.157496
30891;TI HANOK;Bretagne;Bretagne;8 RUE DU LEVENANT;56007;Auray;13746;56;56401;Auray;28513;05-Unités urbaines de 20 000 à 100 000 hbts;5;866;29;3360;61123;5830;9,484219554;De 50 à 80 000 entrées;SARL G K L B;SARL MICROMEGAS DIFFUSION CINEMATOGRAPHIQUE;OUI;D;JP;FIXE;NON;C;201;115;66;54,73899344;28,60427489;11,65375117;5,002980499;97;50,05109427;47.669814;-2.985582;47.669814, -2.985582
17325;CINE SAINT LEU;Picardie;Hauts-de-France;5-9 RUE DE LA PLUMETTE;80021;Amiens;132874;80;80601;Amiens;162637;04-Unités urbaines de 100 000 hbts ou plus;1;254;31;820;25039;420743;-0,940488612;De 20 à 30 000 entrées;ASS JOURNEES CINE AMIENS CONTRE RACISME;;OUI;B;RDJPPR;FIXE;NON;C;91;48;20;52,85165485;37,54432624;5,067966903;4,536052009;79;38,85933806;49.896685;2.302146;49.896685, 2.302146
19325;MONCINE;Aquitaine;Nouvelle Aquitaine;AVENUE DES BARTHES;64024;Anglet;38724;64;00751;Bayonne (partie française);236730;04-Unités urbaines de 100 000 hbts ou plus;7;1095;31;6247;72003;11694;5,157260133;De 50 à 80 000 entrées;MULTICINES PYRENEES SARL;SARL MULTICINES PYRENNEENS (Xavier-Menou);NON;NON;;FIXE;NON;C;118;90;85;60,89517079;39,10482921;0;0;24;100;43.483711;-1.508634;43.483711, -1.508634
