semaine,annee,nbEntrees,recettes,nbSeances
semaine 0*,1993,
semaine 0*,1994,
semaine 10,2018,4579674,30214221,03,167226
semaine 10,2019,4819143,33279434,95,167024
semaine 10,2020,3197600,20662108,22,173533
semaine 11,1993,2322357,11995114,62,
semaine 11,1994,2686904,14396792,02,
semaine 11,1995,2292767,12103784,09,75004
semaine 11,1996,2673637,14493040,7,76926
semaine 11,1997,2980856,15929367,98,84830
semaine 11,1998,3313986,17828121,58,85895
semaine 11,1999,2910486,15257141,07,95139
semaine 11,2000,2650260,14370114,87,97334
semaine 11,2001,3687701,20148524,71,105765
semaine 11,2002,3648363,15436985,02,108993
semaine 11,2003,3873646,15902669,21,112640
semaine 11,2004,4238937,19327078,62,118591
semaine 11,2005,2856756,16541875,94,116680
semaine 11,2006,4245458,18590536,06,124857
semaine 11,2007,4473113,19926216,9,122592
semaine 11,2008,7123393,33731437,54,128237
semaine 11,2009,3035863,17750009,124884
semaine 11,2010,3557575,21319018,86,129007
semaine 11,2011,4037048,24555610,5,140214
semaine 11,2012,4589380,21805847,4,137499
semaine 11,2013,5144401,25609468,76,142139
semaine 11,2014,5357519,26455873,9,153519
semaine 11,2015,3125955,19608369,55,145982
semaine 11,2016,3819510,24243223,61,150043
semaine 11,2017,4787415,24576606,92,155265
semaine 11,2018,5226767,26829723,06,162388
semaine 11,2019,5100406,26792129,68,169595
semaine 11,2020,967575,5922004,72,130187
semaine 12,1993,2302700,11933030,06,
semaine 12,1994,2532144,13396692,92,
semaine 12,1995,2047956,10689119,1,72783
semaine 12,1996,2265409,12024627,38,75176
semaine 12,1997,2746329,14465525,76,84155
semaine 12,1998,2864889,15128767,98,84235
semaine 12,1999,2667507,14196729,39,94105
semaine 12,2000,3879109,16043271,11,99514
semaine 12,2001,4195022,17414213,66,110189
semaine 12,2002,2807321,15283773,23,104235
semaine 12,2003,3061686,17592915,56,110540
semaine 12,2004,3114350,18030182,36,114582
semaine 12,2005,3801746,17250579,04,118818
semaine 12,2006,2848261,16726455,45,120617
semaine 12,2007,3544408,21263441,68,120039
semaine 12,2008,5447913,33717868,72,128023
semaine 12,2009,4922858,22866070,58,129606
semaine 12,2010,5043475,22999307,77,132525
semaine 12,2011,3974408,19149341,56,138789
semaine 12,2012,2872643,17376462,62,132597
semaine 12,2013,3311594,20455231,55,136956
semaine 12,2014,3703665,22920351,57,147590
semaine 12,2015,4811341,23192649,18,147791
semaine 12,2016,4423423,22415691,32,152755
semaine 12,2017,3911603,25455092,44,151348
semaine 12,2018,3362904,21790972,42,158604
semaine 12,2019,2956258,19849058,1,165895
semaine 12,2020,0,0,22
semaine 13,1993,2124788,10936669,63,
semaine 13,1994,2316453,12123258,23,
semaine 13,1995,2034761,10635186,15,73725
semaine 13,1996,2801519,14893086,59,77557
semaine 13,1997,3249958,17486825,23,87854
semaine 13,1998,2816177,15102246,23,84418
semaine 13,1999,2771036,14672984,49,94643
semaine 13,2000,2637302,14290557,08,94946
semaine 13,2001,3157479,17080136,95,108318
semaine 13,2002,3136659,17639755,61,112204
semaine 13,2003,2970892,16874116,35,111900
semaine 13,2004,3032011,17440488,69,114971
semaine 13,2005,3427565,20715104,63,117400
semaine 13,2006,3068195,18295520,75,122375
semaine 13,2007,3274810,19458091,79,125625
semaine 13,2008,3638783,21781950,76,125574
semaine 13,2009,3585162,21312167,48,125133
semaine 13,2010,4788121,31535641,7,131470
semaine 13,2011,3053628,18350336,99,134716
semaine 13,2012,3006844,18744075,95,135982
semaine 13,2013,3469735,22718832,7,140475
semaine 13,2014,3441338,22428966,43,144901
semaine 13,2015,3579570,21848746,17,146292
semaine 13,2016,4607970,31093094,16,150227
semaine 13,2017,4206497,27329682,2,156534
semaine 13,2018,3977336,27171588,86,163342
semaine 13,2019,2743746,17796075,28,164549
semaine 13,2020,0,0,0
semaine 14,1993,2334885,12100681,45,
semaine 14,1994,2786688,15081512,36,
semaine 14,1995,2240957,11659276,9,75870
semaine 14,1996,2791530,15190990,87,81632
semaine 14,1997,2867821,15082989,68,87510
semaine 14,1998,3555738,19219533,98,89316
semaine 14,1999,2679410,14712969,28,100153
semaine 14,2000,5070070,27937908,101013
semaine 14,2001,4545401,24765265,01,116485
semaine 14,2002,3547528,19712126,85,116842
semaine 14,2003,3043449,17366158,45,114605
semaine 14,2004,3534475,20875293,71,117905
semaine 14,2005,2955024,17308277,94,116122
semaine 14,2006,4937026,29493073,6,127281
semaine 14,2007,2941440,17832738,36,132970
semaine 14,2008,4024449,24502000,94,129616
semaine 14,2009,3507938,21249388,79,131771
semaine 14,2010,4896499,32929592,2,139646
semaine 14,2011,2839662,16777608,87,135544
semaine 14,2012,4962016,32937957,82,138428
semaine 14,2013,2839235,17501199,3,140058
semaine 14,2014,3219298,20348383,67,143834
semaine 14,2015,4932073,32689325,34,149190
semaine 14,2016,3698357,24394156,99,151754
semaine 14,2017,3715094,23715089,91,164732
semaine 14,2018,3534178,23091793,89,165214
semaine 14,2019,3804225,25008173,18,168743
semaine 14,2020,0,0,0
semaine 15,1993,2890409,15288120,72,
semaine 15,1994,2766728,14454320,02,
semaine 15,1995,3137596,16858209,15,80936
semaine 15,1996,2828996,15014029,58,85431
semaine 15,1997,3141372,16574129,1,91836
semaine 15,1998,4506873,24844036,95,95491
semaine 15,1999,2874440,15304523,51,104912
semaine 15,2000,5038887,27433538,25,105344
semaine 15,2001,4108524,22633443,22,119050
semaine 15,2002,4535876,25564145,21,119508
semaine 15,2003,3007996,17209642,81,119846
semaine 15,2004,4764611,28581632,36,126182
semaine 15,2005,4054750,24330958,01,120355
semaine 15,2006,5223164,31714405,22,133225
semaine 15,2007,2822447,16930269,8,132943
semaine 15,2008,4292785,26253191,61,135712
semaine 15,2009,4654545,29060739,65,139753
semaine 15,2010,4413176,29464265,74,144302
semaine 15,2011,2515940,15235915,73,138260
semaine 15,2012,4933705,32238898,54,143343
semaine 15,2013,2915372,18247749,6,141987
semaine 15,2014,3667317,22741670,89,143414
semaine 15,2015,3360817,21213278,66,150749
semaine 15,2016,4469081,28839981,28,159578
semaine 15,2017,5452364,36502493,25,170183
semaine 15,2018,4322684,28947351,06,171082
semaine 15,2019,3940941,26008336,49,176762
semaine 15,2020,0,0,0
semaine 16,1993,2556746,13166915,36,
semaine 16,1994,2893484,15123913,15,
semaine 16,1995,3309881,17441063,82,81723
semaine 16,1996,2699042,14320344,93,87557
semaine 16,1997,3267897,17312980,26,92397
semaine 16,1998,4929117,26851132,54,95616
semaine 16,1999,3178344,17010032,17,106846
semaine 16,2000,5147179,27986330,73,112090
semaine 16,2001,3676821,19838004,74,115884
semaine 16,2002,2996245,16636459,56,110563
semaine 16,2003,2963942,17439516,46,121496
semaine 16,2004,4723462,27890132,42,128041
semaine 16,2005,4093047,24442566,88,127549
semaine 16,2006,4249319,25381380,76,133530
semaine 16,2007,2334280,13772655,62,129739
semaine 16,2008,3997098,24365210,65,138272
semaine 16,2009,4485745,27863449,19,140018
semaine 16,2010,4073383,26390533,48,145580
semaine 16,2011,3322404,20739115,19,144561
semaine 16,2012,4328069,27364750,2,143540
semaine 16,2013,4074702,26055145,67,147541
semaine 16,2014,5449359,35067588,62,150635
semaine 16,2015,3518134,22002440,41,157791
semaine 16,2016,4607578,30249063,04,164359
semaine 16,2017,3802030,24573879,92,165643
semaine 16,2018,2921371,18917223,27,173648
semaine 16,2019,3396118,23025184,182270
semaine 16,2020,0,0,0
semaine 17,1993,2800183,14609352,14,
semaine 17,1994,2600875,13580983,66,
semaine 17,1995,2621410,13925712,81,81094
semaine 17,1996,2587281,13805869,44,84325
semaine 17,1997,2503496,13091884,31,85214
semaine 17,1998,3526467,19131177,09,92192
semaine 17,1999,2597769,13821695,43,101907
semaine 17,2000,4910622,26814247,02,110610
semaine 17,2001,4231002,23367426,2,113174
semaine 17,2002,3046388,16961702,58,108875
semaine 17,2003,2590536,14834777,49,118282
semaine 17,2004,3632949,21296321,49,125706
semaine 17,2005,3716679,22162305,78,127573
semaine 17,2006,5701286,34891898,34,131044
semaine 17,2007,3154979,19131959,85,128588
semaine 17,2008,2714796,16182660,69,133343
semaine 17,2009,3855434,23586992,46,137792
semaine 17,2010,4023735,25176697,9,141388
semaine 17,2011,3501551,22348667,02,147918
semaine 17,2012,6113395,41656256,3,142326
semaine 17,2013,5988722,41050323,5,146705
semaine 17,2014,5679642,36194686,98,157140
semaine 17,2015,4997744,33350701,48,156326
semaine 17,2016,4165000,26967702,75,160738
semaine 17,2017,4819229,32377757,89,158223
semaine 17,2018,6369405,45566415,64,170485
semaine 17,2019,6313839,46149711,96,166105
semaine 17,2020,0,0,0
semaine 18,1993,2498667,13148578,18,
semaine 18,1994,1836401,9545558,627,
semaine 18,1995,1497237,7804256,224,78458
semaine 18,1996,2189202,11720060,79399
semaine 18,1997,2340353,12519794,85,84650
semaine 18,1998,3943916,21844282,13,91714
semaine 18,1999,2022159,10738213,69,96578
semaine 18,2000,3474055,19025229,89,105255
semaine 18,2001,3440273,18914073,64,109287
semaine 18,2002,2890925,16156554,47,107883
semaine 18,2003,3270557,19161868,43,113181
semaine 18,2004,3448378,20174390,63,118617
semaine 18,2005,2540452,14824417,79,123362
semaine 18,2006,4799169,29421690,88,124272
semaine 18,2007,4655597,28580222,2,122408
semaine 18,2008,3113707,19109216,79,129915
semaine 18,2009,3824643,23633627,9,135113
semaine 18,2010,4699942,29710853,49,133147
semaine 18,2011,3932804,26027776,45,143495
semaine 18,2012,4847800,32180703,12,142019
semaine 18,2013,4423486,29549329,75,145105
semaine 18,2014,6257800,41288037,05,154391
semaine 18,2015,4818612,31787751,79,156115
semaine 18,2016,3955748,26452555,88,150780
semaine 18,2017,3780569,24931158,12,156368
semaine 18,2018,3537040,24525958,12,168513
semaine 18,2019,4831119,34984584,17,158119
semaine 18,2020,0,0,0
semaine 19,1993,2090030,10719188,61,
semaine 19,1994,1828624,9563128,071,
semaine 19,1995,1783587,9259062,408,72853
semaine 19,1996,2260143,12020208,03,79311
semaine 19,1997,3937278,21847267,7,86567
semaine 19,1998,2537070,13765297,91,93422
semaine 19,1999,1725670,9087137,24,95624
semaine 19,2000,2563547,13804072,54,100976
semaine 19,2001,2002016,10557888,33,103512
semaine 19,2002,2883490,16451974,17,108947
semaine 19,2003,2755540,15977926,75,111364
semaine 19,2004,3521140,20554205,16,114841
semaine 19,2005,3079663,18579912,51,118230
semaine 19,2006,2961885,17431726,37,119983
semaine 19,2007,2644462,15530915,49,118339
semaine 19,2008,2427262,14885268,6,129848
semaine 19,2009,3482473,21433410,07,131271
semaine 19,2010,3788408,22883125,9,130400
semaine 19,2011,3639869,22849273,02,135320
semaine 19,2012,3059738,19273173,97,136117
semaine 19,2013,3743495,24904248,28,142743
semaine 19,2014,5042482,32941829,39,150817
semaine 19,2015,2750809,17375980,82,153344
semaine 19,2016,2965613,19684360,68,154176
semaine 19,2017,2773622,17952268,68,155431
semaine 19,2018,3698222,25256599,76,163074
semaine 19,2019,4006656,27828940,02,155182
semaine 19,2020,0,0,0
semaine 20,1993,1916244,9731679,058,
semaine 20,1994,2144286,11616278,51,
semaine 20,1995,1636373,8435284,325,72299
semaine 20,1996,2469111,13383350,43,81281
semaine 20,1997,3061210,16889925,22,84005
semaine 20,1998,1745074,9067730,7,87665
semaine 20,1999,1885980,10244240,45,92957
semaine 20,2000,2071903,10965045,13,97397
semaine 20,2001,2045072,10506785,48,103072
semaine 20,2002,3592722,20803907,48,106422
semaine 20,2003,3866774,22818460,05,107285
semaine 20,2004,3051281,17596200,37,108826
semaine 20,2005,2438025,14195141,04,112170
semaine 20,2006,4107257,24914172,49,113789
semaine 20,2007,3239515,19749113,2,116346
semaine 20,2008,2277449,11608734,17,124428
semaine 20,2009,3483248,17623939,86,123340
semaine 20,2010,4625475,25524686,34,130967
semaine 20,2011,3443307,19800889,65,130569
semaine 20,2012,4184307,26194815,56,136094
semaine 20,2013,3887899,24755110,72,136738
semaine 20,2014,3103929,19635303,36,143506
semaine 20,2015,3265056,21462077,08,148064
semaine 20,2016,3367626,21508805,78,153233
semaine 20,2017,2264553,14258812,2,151212
semaine 20,2018,2980938,19920789,31,158357
