numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;numCinema;geolocalisation;;;numCommune;nomCommune;populationCommune;numDepartement;numUniteUrbaine;nomUniteUrbaine;populationUniteUrbaine;situationGeographique;;;;;AE;categorieAE;labelAE;;;zoneCommune;nbFilmsProgrammes;nbFilmsInedits;nbFilmsSemaine1;PdMentreesFilmsFR;PdMentreesFilmsUSA;PdMentreesFilmsEUR;PdMentreesFilmsAutres;nbFilmsAE;PdMentreesFilmsAE;latitude;longitude
11101;LE FOYER;RUE NDU STADE;ASSOCIATION POUR LE DEVELOPPEMENT DU CINEMA A ACIGNE;SAS CINE DIFFUSION;FIXE;NON;11101;48.135609, -1.537695;;;35001;Acigné;6521;35;35206;Acigné;6521;06-autres communes et unités urbaines;;;;;OUI;E;;;;I;131;95;7;60,90398601;15,10632422;15,54819111;8,441498665;72;77,7041333;48.135609;-1.537695
77732;CENTRE CULTUREL DU GRAND LOGIS;10 AVENUE DU GENERAL DE GAULLE;COMMUNE DE BRUZ;SAS CINE DIFFUSION;FIXE;NON;77732;48.02352, -1.744768;;;35047;Bruz;17978;35;35701;Rennes;330871;04-Unités urbaines de 100 000 hbts ou plus;;;;;NON;NON;;;;B;14;1;0;42,83674263;48,31927747;6,477660147;2,366319756;1;13,72764519;48.02352;-1.744768
84292;DUGUESCLIN;5 IMPASSE ST MEEN;LA MOUETTE CANCALAISE;SAS CINE DIFFUSION;FIXE;NON;84292;48.676977, -1.85005;;;35049;Cancale;5166;35;35203;Cancale;5166;06-autres communes et unités urbaines;;;;;OUI;E;JP;;;I;94;74;5;46,42857143;48,48214286;2,767857143;2,321428571;59;31,42857143;48.676977;-1.85005
11527;TRAVELLING;RUE BRESCOU;LE FESTIVAL;;FIXE;NON;11527;43.31185, 3.473009;;;34003;Agde;26946;34;34401;Agde;26946;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;OUI;D;RDJPPR;;;I;159;115;61;34,18069996;56,55732904;5,236491434;4,025479572;79;8,336506077;43.31185;3.473009
13405;RENOIR;24 COURS MIRABEAU;SOCIETE AIXOISE CINEMATOGRAPHIQUE;;FIXE;NON;13405;43.526562, 5.448932;;;13001;Aix-en-Provence;142668;13;759;Marseille - Aix-en-Provence;1585498;04-Unités urbaines de 100 000 hbts ou plus;;;;;OUI;C;RD;;;B;79;57;52;62,57048872;30,16917293;5,122180451;2,138157895;69;24,31860902;43.526562;5.448932
27833;PAGNOL;COURS FOCH;CINEMA NEMO;;FIXE;NON;27833;43.293397, 5.567708;;;13005;Aubagne;45410;13;759;Marseille - Aix-en-Provence;1585498;04-Unités urbaines de 100 000 hbts ou plus;;;;;OUI;C;;;;B;98;80;63;60,21485994;19,46357115;9,481235805;10,84033311;42;82,75712895;43.293397;5.567708
86693;L ARTEA;AVENUE CARDINAL DE LAVIGERIE;POLYMAGES;SARL MC4 DISTRIBUTION;FIXE;NON;86693;43.256071, 5.568869;;;13119;Carnoux-en-Provence;6615;13;13209;Carnoux-en-Provence;6615;06-autres communes et unités urbaines;;;;;NON;NON;;;;I;72;60;0;57,97613787;29,78347327;9,102960672;3,137428193;20;29,34158197;43.256071;5.568869
86952;ESPACE FERNANDEL;AV ARISTIDE BRIAND;ASSOCIATION CULTURELLE CARRY LE ROUET;;FIXE;NON;86952;43.332335, 5.151827;;;13021;Carry-le-Rouet;5891;13;13303;Sausset-les-Pins - Carry-le-Rouet;13515;06-autres communes et unités urbaines;;;;;OUI;E;JP;;;B;119;87;9;65,32066508;25,1502026;5,570304131;3,958828187;54;36,22560663;43.332335;5.151827
49632;CINEMARINE;AVENUE DE LA PLAGE;LES TOILES DE MER;;FIXE;NON;49632;47.874121, -4.110036;;;29006;Bénodet;3505;29;29402;Fouesnant;23955;05-Unités urbaines de 20 000 à 100 000 hbts;;;;;OUI;D;;;;B;117;100;54;57,18111684;27,19350841;9,589479154;6,035895591;50;61,58212416;47.874121;-4.110036
73021;CELTIC;187 RUE JEAN JAURES;SOCIETE CINEMAS CELTIC;SARL LES FILMS DE LA ROCHELLE;FIXE;OUI;73021;48.398083, -4.473843;;;29019;Brest;139163;29;29701;Brest;200530;04-Unités urbaines de 100 000 hbts ou plus;;;;;NON;NON;;;;C;117;78;73;49,39247175;43,07502761;6,678562325;0,853938313;11;23,52791231;48.398083;-4.473843
