numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune
283043;FREDERIC DARD CLUB A;77 RUE PAUL DOUMER;ASSOCIATION DE DIFFUSION CULTURELLE DES MUREAUX;;FIXE;NON;48.993874, 1.910246;Ile-de-France;78;78440
283105;VEO - GRAND - MERMOZ;AVENUE JACQUES DOUZANS;VEO-MURET;SNC SAGEC - CINE 32 VEO;FIXE;OUI;43.465865, 1.326927;Occitanie;31;31395
283523;CINEMA LE ROHAN;39, RUE DU CHATEAU;VILLE DE MUTZIG;;FIXE;NON;48.536154, 7.453136;Grand-Est;67;67313
283551;SALLE JEANNE D ARC;RUE RENE BAZIN;ASSOCIATION GROUPE JEANNE D'ARC;SAS CINE DIFFUSION;FIXE;NON;47.555803, -2.484734;Bretagne;56;56143
284121;CAMEO;16, RUE DE LA COMMANDERIE;EOLE CINE;;FIXE;NON;48.687007, 6.172177;Grand-Est;54;54395
284362;LA BERGERIE;COUR EMILE ZOLA;COMMUNE DE NANGIS;;FIXE;NON;48.555127, 3.0133;Ile-de-France;77;77327
287391;LE VIKING;68 RUE DE LA REPUBLIQUE;ASSOCIATION REXY SIRIUS;;FIXE;NON;49.148993, 0.902155;Normandie;27;27428
287462;CINEMA 2001;23 AV DE LA CONCORDE;LES AMIS DU CINEMA 2001-2002;ENT. REG. CIN. NORD PAS DE CALAIS;FIXE;NON;50.632496, 1.578876;Hauts-de-France;62;62604
288151;LE VILLAGE I;4 RUE DE CHEZY;PARAFRANCE COMMUNICATION;UGC DIFFUSION;FIXE;NON;48.885364, 2.268222;Ile-de-France;92;92051
288571;LE PARADISIO;PLACE DE LA MAIRIE;LE PRE BOURGES;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.38274, 2.272379;Nouvelle Aquitaine;19;19148
289344;REX;4 AV DU 11 NOVEMBRE;REX CINEMA;;FIXE;NON;45.87473, 4.841744;Auvergne - Rhône-Alpes;69;69143
