geolocalisation;latitude;longitude
44.481887, 0.946365;44.481887;0.946365
48.490092, 3.148397;48.490092;3.148397
46.98002, -1.316083;46.98002;-1.316083
48.001962, 2.729169;48.001962;2.729169
47.50866, 6.801618;47.50866;6.801618
45.575851, 2.809534;45.575851;2.809534
44.560981, 4.749382;44.560981;4.749382
45.283756, -0.408153;45.283756;-0.408153
48.134411, -1.950548;48.134411;-1.950548
45.85006, 5.057372;45.85006;5.057372
46.424909, 0.870092;46.424909;0.870092
43.628684, 3.868881;43.628684;3.868881
43.609061, 3.880069;43.609061;3.880069
43.720217, 2.323868;43.720217;2.323868
50.461411, 1.759867;50.461411;1.759867
47.343448, 1.182804;47.343448;1.182804
49.462477, 1.070892;49.462477;1.070892
43.620396, 6.969027;43.620396;6.969027
49.582217, 5.079352;49.582217;5.079352
43.750527, -0.749807;43.750527;-0.749807
47.755602, 7.334726;47.755602;7.334726
44.844783, 2.659612;44.844783;2.659612
47.195308, -1.538372;47.195308;-1.538372
43.163076, 2.984491;43.163076;2.984491
43.180232, 3.014167;43.180232;3.014167
44.13533, 0.339366;44.13533;0.339366
43.700772, 7.280789;43.700772;7.280789
43.833909, 4.357425;43.833909;4.357425
48.322377, 0.818153;48.322377;0.818153
48.838331, 2.489437;48.838331;2.489437
48.489946, 3.505014;48.489946;3.505014
47.004998, -2.240623;47.004998;-2.240623
48.840097, 2.547002;48.840097;2.547002
43.875599, 4.9035;43.875599;4.9035
49.579959, 3.008971;49.579959;3.008971
44.360368, 5.13899;44.360368;5.13899
48.462351, 7.479092;48.462351;7.479092
43.192296, -0.613402;43.192296;-0.613402
46.174778, 6.496059;46.174778;6.496059
48.125889, 7.163437;48.125889;7.163437
48.786098, 2.544935;48.786098;2.544935
42.4151068, 1.9811399999999821;42.4151068;1.9811399999999821
46.255796, 5.651795;46.255796;5.651795
48.762604, 2.664715;48.762604;2.664715
47.347212, -3.157897;47.347212;-3.157897
46.644644, -0.244668;46.644644;-0.244668
43.295774, -0.370121;43.295774;-0.370121
48.84694, 2.509968;48.84694;2.509968
43.692404, 5.499464;43.692404;5.499464
44.80514, -0.632009;44.80514;-0.632009
43.545174, -1.102823;43.545174;-1.102823
45.133956, 2.227009;45.133956;2.227009
48.777607, 2.254424;48.777607;2.254424
47.936453, -2.401708;47.936453;-2.401708
48.340552, -4.723462;48.340552;-4.723462
46.589505, 0.346095;46.589505;0.346095
48.902416, 6.055412;48.902416;6.055412
46.901894, 6.357637;46.901894;6.357637
45.432083, 6.020106;45.432083;6.020106
49.049188, 2.099047;49.049188;2.099047
43.787182, -0.923978;43.787182;-0.923978
47.114365, -2.127161;47.114365;-2.127161
42.515622, 3.105129;42.515622;3.105129
43.608168, -0.998487;43.608168;-0.998487
42.616153, 2.421654;42.616153;2.421654
43.697918, 3.864705;43.697918;3.864705
44.503225, 1.187579;44.503225;1.187579
50.323857, 1.548679;50.323857;1.548679
47.662952, -2.454678;47.662952;-2.454678
43.657393, 6.130635;43.657393;6.130635
47.794318, -1.057793;47.794318;-1.057793
47.914523, -1.380231;47.914523;-1.380231
43.913839, -0.91372;43.913839;-0.91372
42.765685, 2.868611;42.765685;2.868611
46.038163, 4.069538;46.038163;4.069538
47.517686, -2.300226;47.517686;-2.300226
45.148742, 0.014338;45.148742;0.014338
46.162612, -1.152316;46.162612;-1.152316
50.750026, 3.123334;50.750026;3.123334
48.459054, 7.210973;48.459054;7.210973
48.879844, 2.180852;48.879844;2.180852
47.839358, -0.342854;47.839358;-0.342854
44.152438, -0.737033;44.152438;-0.737033
43.561544, 6.236388;43.561544;6.236388
47.620428, 4.88235;47.620428;4.88235
50.59221, 2.959712;50.59221;2.959712
48.736261, 7.05462;48.736261;7.05462
43.236313, 1.574721;43.236313;1.574721
48.777656, 2.292628;48.777656;2.292628
43.404513, 3.695345;43.404513;3.695345
45.889595, 6.101037;45.889595;6.101037
43.028712, 2.979248;43.028712;2.979248
43.190268, 6.038903;43.190268;6.038903
43.782561, 4.087698;43.782561;4.087698
43.664191, -1.395;43.664191;-1.395
46.236572, 1.486137;46.236572;1.486137
47.269008, 1.371774;47.269008;1.371774
50.437378, 3.449925;50.437378;3.449925
46.722722, 2.503052;46.722722;2.503052
45.583013, 3.621912;45.583013;3.621912
44.150668, 1.754536;44.150668;1.754536
45.411405, 6.633802;45.411405;6.633802
48.508095, -2.760537;48.508095;-2.760537
45.290626, -0.610204;45.290626;-0.610204
46.387715, 5.86346;46.387715;5.86346
48.925395, 2.363117;48.925395;2.363117
45.441579, 4.383999;45.441579;4.383999
45.441646, 4.387294;45.441646;4.387294
47.275577, -1.779561;47.275577;-1.779561
47.815917, 3.799085;47.815917;3.799085
44.842499, 0.219805;44.842499;0.219805
43.234582, 3.107601;43.234582;3.107601
44.465282, 2.972204;44.465282;2.972204
44.217236, 3.808519;44.217236;3.808519
47.21395, -1.64939;47.21395;-1.64939
48.576008, -1.09371;48.576008;-1.09371
45.838161, 1.487619;45.838161;1.487619
47.124726, -0.994734;47.124726;-0.994734
45.323346, 6.538468;45.323346;6.538468
47.111089, 0.61914;47.111089;0.61914
48.699609, 6.207734;48.699609;6.207734
47.280291, -2.216623;47.280291;-2.216623
47.274768, -2.20402;47.274768;-2.20402
42.811446, 2.505248;42.811446;2.505248
43.885758, -0.521675;43.885758;-0.521675
50.381554, 2.33712;50.381554;2.33712
