numCommune;nomCommune;populationCommune;situationGeographique;zoneCommune;numDepartement;nouvelleRegion;numUniteUrbaine
76114;Bolbec;11679;06-autres communes et unités urbaines;C;76;Normandie;76302
40065;Capbreton;8776;06-autres communes et unités urbaines;C;40;Nouvelle Aquitaine;40301
47057;Castillonnès;1436;04-Unités urbaines de 100 000 hbts ou plus;R;47;Nouvelle Aquitaine;0
53039;Le Bourgneuf-la-Forêt;1792;04-Unités urbaines de 100 000 hbts ou plus;R;53;Pays de la Loire;0
19031;Brive-la-Gaillarde;47349;05-Unités urbaines de 20 000 à 100 000 hbts;C;19;Nouvelle Aquitaine;554
46040;Cabrerets;230;04-Unités urbaines de 100 000 hbts ou plus;R;46;Occitanie;0
46042;Cahors;19340;05-Unités urbaines de 20 000 à 100 000 hbts;C;46;Occitanie;46401
6026;Cabris;1295;04-Unités urbaines de 100 000 hbts ou plus;B;6;Provence-Alpes-Côte-d'Azur;6701
6029;Cannes;74285;04-Unités urbaines de 100 000 hbts ou plus;B;6;Provence-Alpes-Côte-d'Azur;6701
6033;Carros;12008;04-Unités urbaines de 100 000 hbts ou plus;B;6;Provence-Alpes-Côte-d'Azur;6701
12052;Capdenac-Gare;4542;06-autres communes et unités urbaines;B;12;Occitanie;364
65127;Capvern;1325;04-Unités urbaines de 100 000 hbts ou plus;R;65;Occitanie;0
35051;Cesson-Sévigné;17414;04-Unités urbaines de 100 000 hbts ou plus;B;35;Bretagne;35701
85152;Les Achards;4925;06-autres communes et unités urbaines;C;85;Pays de la Loire;85125
69270;Chaponnay;4098;04-Unités urbaines de 100 000 hbts ou plus;B;69;Auvergne - Rhône-Alpes;758
69044;Charbonnières-les-Bains;5003;04-Unités urbaines de 100 000 hbts ou plus;B;69;Auvergne - Rhône-Alpes;758
42052;Charlieu;3694;06-autres communes et unités urbaines;C;42;Auvergne - Rhône-Alpes;42204
25125;Charmoille;335;04-Unités urbaines de 100 000 hbts ou plus;R;25;Bourgogne - Franche-Comté;0
71106;Charolles;2758;06-autres communes et unités urbaines;I;71;Bourgogne - Franche-Comté;71105
85059;La Châtaigneraie;2536;06-autres communes et unités urbaines;C;85;Pays de la Loire;85123
44036;Châteaubriant;12067;06-autres communes et unités urbaines;I;44;Pays de la Loire;44302
58062;Château-Chinon (Ville);2071;06-autres communes et unités urbaines;I;58;Bourgogne - Franche-Comté;58101
36044;Châteauroux;43732;05-Unités urbaines de 20 000 à 100 000 hbts;C;36;Centre - Val-de-Loire;36501
2168;Château-Thierry;14602;05-Unités urbaines de 20 000 à 100 000 hbts;C;2;Hauts-de-France;2401
74063;Châtel;1224;06-autres communes et unités urbaines;C;74;Auvergne - Rhône-Alpes;74108
92019;Châtenay-Malabry;33330;02-Grande Couronne;B;92;Ile-de-France;851
35072;Châtillon-en-Vendelais;1700;04-Unités urbaines de 100 000 hbts ou plus;R;35;Bretagne;0
1093;Châtillon-sur-Chalaronne;4914;06-autres communes et unités urbaines;I;1;Auvergne - Rhône-Alpes;1124
2173;Chauny;11831;06-autres communes et unités urbaines;C;2;Hauts-de-France;2303
92023;Clamart;52645;02-Grande Couronne;B;92;Ile-de-France;851
58079;Clamecy;3867;06-autres communes et unités urbaines;C;58;Bourgogne - Franche-Comté;58107
16102;Cognac;18654;05-Unités urbaines de 20 000 à 100 000 hbts;C;16;Nouvelle Aquitaine;16401
92025;Colombes;85199;02-Grande Couronne;B;92;Ile-de-France;851
31149;Colomiers;38801;04-Unités urbaines de 100 000 hbts ou plus;B;31;Occitanie;31701
77122;Combs-la-Ville;22154;03-Petite couronne;B;77;Ile-de-France;851
78172;Conflans-Sainte-Honorine;35019;03-Petite couronne;B;78;Ile-de-France;851
16106;Confolens;2711;06-autres communes et unités urbaines;I;16;Nouvelle Aquitaine;16102
62239;Coquelles;2519;04-Unités urbaines de 100 000 hbts ou plus;B;62;Hauts-de-France;62504
58086;Cosne-Cours-sur-Loire;10388;06-autres communes et unités urbaines;C;58;Bourgogne - Franche-Comté;58301
17121;La Couarde-sur-Mer;1199;06-autres communes et unités urbaines;C;17;Nouvelle Aquitaine;17118
60164;Le Coudray-Saint-Germer;951;04-Unités urbaines de 100 000 hbts ou plus;R;60;Hauts-de-France;0
77131;Coulommiers;15116;03-Petite couronne;C;77;Ile-de-France;77402
63124;Cournon-d'Auvergne;19768;04-Unités urbaines de 100 000 hbts ou plus;B;63;Auvergne - Rhône-Alpes;63701
69069;Craponne;10979;04-Unités urbaines de 100 000 hbts ou plus;B;69;Auvergne - Rhône-Alpes;758
80222;Crécy-en-Ponthieu;1475;04-Unités urbaines de 100 000 hbts ou plus;R;80;Hauts-de-France;0
60176;Crépy-en-Valois;15049;06-autres communes et unités urbaines;I;60;Hauts-de-France;60303
34090;Le Crès;9220;04-Unités urbaines de 100 000 hbts ou plus;B;34;Occitanie;34701
94028;Créteil;90739;02-Grande Couronne;B;94;Ile-de-France;851
58095;Decize;5623;06-autres communes et unités urbaines;C;58;Bourgogne - Franche-Comté;58201
