numCinema;nomCinema;adresseCinema;proprietaireCinema;programmateurCinema;genre;multiplexe;geolocalisation;nouvelleRegion;numDepartement;numCommune;nomCommune
28661;LE CARFOUR;ROUTE DE NESMY;ASSOCIATION JEUNESSE LOISIRS ET AVENIR;SUD CINE;FIXE;NON;46.623209, -1.427738;Pays de la Loire;85;85008;Aubigny-Les Clouzeaux
28732;ATOMIC;23 RUE DU PRIEURE;ATOMIC CINEMA;SARL GPCI;FIXE;NON;47.488316, 2.43949;Centre - Val-de-Loire;18;18015;Aubigny-sur-Nere
28991;COLBERT;GRANDE RUE;ASSOCIATION CINEMA LE COLBERT;SNC SAGEC - CINE 32 VEO;FIXE;NON;45.956961, 2.170097;Nouvelle Aquitaine;23;23008;Aubusson
29373;CINE GOYEN;13 RUE LOUIS PASTEUR;VIGOUROUX YVES;SARL MICROMEGAS DIFFUSION CINEMATOGRAPHIQUE;FIXE;NON;48.022078, -4.5389;Bretagne;29;29003;Audierne
29741;SALLE POLYVALENTE;SALLE POLYVALENTE;CINE PARC;SNC SAGEC - CINE 32 VEO;ITINERANT;NON;45.71712, 3.633074;Auvergne - Rhone-Alpes;63;63016;Augerolles
33751;VOX;22 PLACE DE L HORLOGE;CINEVOX;SARL GPCI;FIXE;NON;43.949433, 4.806281;Provence-Alpes-Cote-d'Azur;84;84007;Avignon
36602;LE SCENARIO;RUE DU CHENE VERT;CINE SPECTACLES DE BAIN DE BRETAGNE;SAS CINE DIFFUSION;FIXE;NON;47.845691, -1.687075;Bretagne;35;35012;Bain-de-Bretagne
38592;SALLE COMMUNALE;SALLE COMMUNALE;ASSOCIATION PROMOTION ACTIVITE CULTURELLE AUDIOVISUELLE MARMANDE;SNC SAGEC - CINE 32 VEO;ITINERANT;NON;44.169886, 0.285632;Nouvelle Aquitaine;47;47021;Barbaste
38931;L UBAYE;19 RUE HENRI MERCIER;CINE ESPACE EVASION;;FIXE;NON;44.387012, 6.653653;Provence-Alpes-Cote-d'Azur;4;4019;Barcelonnette
42011;STELLA CINE;9 RUE DU PRESBYTERE;ASSOCIATION SAINT LAURENT;;FIXE;NON;47.542333, -0.107495;Pays de la Loire;49;49018;Bauge-en-Anjou
42075;GULF STREAM;52 AV DU GENERAL DE GAULLE;SAEM LOCALE GULF STREAM;;FIXE;NON;47.283747, -2.391924;Pays de la Loire;44;44055;La Baule-Escoublac
45876;AGNES VARDA;8 AV DE BOURGOGNE;ASSOCIATION CULTURELLE ARGENTINE;;FIXE;NON;49.437982, 2.099627;Hauts-de-France;60;60057;Beauvais
